Rôle tiers;Etablissement;Journal;Compte général;Date écriture;Libellé;Devise;Montant TR (EUR);Montant TC;Montant signé TC;Montant signé TR;Montant signé (EUR);Sens;Réf. pièce;Interco;Mode règlement;Code lettrage;Type marquage;Date pointage;Date lettrage;Lettre rappro.;Libellé pièce;Date rappro.;Norme;Type pièce;Type d'écriture;N° pièce;N° lot;N° écriture;Code tiers;Partage;id_dl;
CNFFMEDIAFIGARO;CNF0000;ACH;4010000;26/08/2025;CNFFMEDIAFIGARO - ANNONCE PRESSE LE PARTICULIER;EUR;2400;2400;-2400;-2400;-2400;Crédit;22286732;;;;;;;;CNFFMEDIAFIGARO - ANNONCE PRESSE LE PARTICULIER;;EXP;Facture Fournisseur;Brouillard;ACH -250800122;421887;3122984;CNFFMEDIAFIGARO;CNF;8058;
CNFFIDAIA;CNF0000;ACH;4010000;31/12/2025;CNFFIDAIA - PN DATA CONSOMATION DECEMBRE 2025;EUR;637,48;637,48;-637,48;-637,48;-637,48;Crédit;CS347934;;;;;;;;CNFFIDAIA - PN DATA CONSOMATION DECEMBRE 2025;;EXP;Facture Fournisseur;Brouillard;ACH -251200148;421887;3122974;CNFFIDAIA;CNF;8067;
CNFFIDAIA;CNF0000;ACH;4010000;31/12/2025;CNFFIDAIA - PN DATA ABONNEMENT DECEMBRE 2025;EUR;3026,66;3026,66;-3026,66;-3026,66;-3026,66;Crédit;CS347933;;;;;;;;CNFFIDAIA - PN DATA ABONNEMENT DECEMBRE 2025;;EXP;Facture Fournisseur;Brouillard;ACH -251200147;421887;3122972;CNFFIDAIA;CNF;8068;
CNFFOKTOS;CNF0000;ACH;4010000;30/12/2025;CNFFOKTOS - AVOIR SUR FACTURE N 2025 - 12 - 101;EUR;600;600;-600;-600;-600;Crédit;2025 - 12 - 105;;;;;;;;CNFFOKTOS - AVOIR SUR FACTURE N 2025 - 12 - 101;;EXP;Ne pas payer;Brouillard;ACH -251200146;421887;3122954;CNFFOKTOS;CNF;8099;
CNFFOKTOS;CNF0000;ACH;4010000;30/12/2025;CNFFOKTOS - PANEL;EUR;1800;1800;-1800;-1800;-1800;Crédit;N 2025 - 12 - 101;;;;;;;;CNFFOKTOS - PANEL;;EXP;Facture Fournisseur;Brouillard;ACH -251200145;419892;3112465;CNFFOKTOS;CNF;7884;
CNFFDIVERS;CNF0000;ACH;4010000;31/12/2025;MAXIMA - ECHANGE DE FICHIER AVEC OPM POUR PROSPECTION 2026;EUR;218,4;218,4;-218,4;-218,4;-218,4;Crédit;15926;;;;;;;;MAXIMA - ECHANGE DE FICHIER AVEC OPM POUR PROSPECTION 2026;;EXP;Facture Fournisseur;Brouillard;ACH -251200144;419892;3112461;CNFFDIVERS;CNF;7940;
CNFFADOBE;CNF0000;ACH;4010000;03/12/2025;CNFFADOBE - CPTE MYRLENE FARNOUX;EUR;35,28;35,28;-35,28;-35,28;-35,28;Crédit;IEN2025065787124;;;;;;;;CNFFADOBE - CPTE MYRLENE FARNOUX;;EXP;Facture Fournisseur;Brouillard;ACH -251200143;419892;3112447;CNFFADOBE;CNF;7960;
CNFFADOBE;CNF0000;ACH;4010000;03/11/2025;CNFFADOBE - CPTE MYRLENE FARNOUX;EUR;35,28;35,28;-35,28;-35,28;-35,28;Crédit;IEN2025059529649;;;;;;;;CNFFADOBE - CPTE MYRLENE FARNOUX;;EXP;Facture Fournisseur;Brouillard;ACH -251100121;419892;3112445;CNFFADOBE;CNF;7961;
CNFFCITEO;CNF0000;ACH;4010000;03/12/2025;CNFFCITEO - FACTURE DE CONTRIBUTION 2025 AU TITRE DES EMBALLAGES MENAGERS;EUR;96;96;-96;-96;-96;Crédit;90945214;;;;;;;;CNFFCITEO - FACTURE DE CONTRIBUTION 2025 AU TITRE DES EMBALLAGES MENAGERS;;EXP;Facture Fournisseur;Brouillard;ACH -251200142;419892;3112443;CNFFCITEO;CNF;7962;
CNFFDIDAKT;CNF0000;ACH;4010000;31/12/2025;CNFFDIDAKT - PRESTATIONS REGIE DECEMBRE 2025;EUR;4320;4320;-4320;-4320;-4320;Crédit;F2020212;;;COVY;;;09/02/2026;;CNFFDIDAKT - PRESTATIONS REGIE DECEMBRE 2025;;EXP;Facture Fournisseur;Brouillard;ACH -251200141;419892;3112437;CNFFDIDAKT;CNF;7971;
CNFFORANGEPRO;CNF0000;ACH;4010000;12/12/2025;CNFFORANGEPRO - LIVEBOX PRO FIBRE;EUR;66;66;-66;-66;-66;Crédit;01B437E647 25J1- 1D12;;;;;;;;CNFFORANGEPRO - LIVEBOX PRO FIBRE;;EXP;PRELEVEMENTS;Brouillard;ACH -251200140;419892;3112435;CNFFORANGEPRO;CNF;7973;
CNFFORANGEPRO;CNF0000;ACH;4010000;13/11/2025;CNFFORANGEPRO - LIVEBOX PRO FIBRE;EUR;66;66;-66;-66;-66;Crédit;01B437E647 25i3- 1D11;;;;;;;;CNFFORANGEPRO - LIVEBOX PRO FIBRE;;EXP;PRELEVEMENTS;Brouillard;ACH -251100120;419892;3112433;CNFFORANGEPRO;CNF;7972;
CNFFORANGEPRO;CNF0000;ACH;4010000;13/10/2025;CNFFORANGEPRO - LIVEBOX PRO FIBRE;EUR;66;66;-66;-66;-66;Crédit;01B437E647 25H5- 1D10;;;;;;;;CNFFORANGEPRO - LIVEBOX PRO FIBRE;;EXP;PRELEVEMENTS;Brouillard;ACH -251000140;419892;3112431;CNFFORANGEPRO;CNF;7974;
CNFFCEDRUS;CNF0000;ACH;4010000;16/12/2025;CNFFCEDRUS - HONORAIRES DE CONSEIL S2 2025 CEDRUS;EUR;12000;12000;-12000;-12000;-12000;Crédit;F-2025-305;;;;;;;;CNFFCEDRUS - HONORAIRES DE CONSEIL S2 2025 CEDRUS;;EXP;Facture Fournisseur;Brouillard;ACH -251200139;419892;3112417;CNFFCEDRUS;CNF;7988;
CNFFHOTELTERMINUS;CNF0000;ACH;4010000;07/11/2025;CNFFHOTELTERMINUS - CONSEIL D ADMINISTRATION;EUR;110;110;-110;-110;-110;Crédit;180886;;;COWF;;;09/02/2026;;CNFFHOTELTERMINUS - CONSEIL D ADMINISTRATION;;EXP;Facture Fournisseur;Brouillard;ACH -251100119;419892;3112403;CNFFHOTELTERMINUS;CNF;8003;
CNFFHOTELTERMINUS;CNF0000;ACH;4010000;12/12/2025;CNFFHOTELTERMINUS - CONSEIL D ADMINISTRATION;EUR;110;110;-110;-110;-110;Crédit;181821;;;COWN;;;09/02/2026;;CNFFHOTELTERMINUS - CONSEIL D ADMINISTRATION;;EXP;Facture Fournisseur;Brouillard;ACH -251200138;419892;3112401;CNFFHOTELTERMINUS;CNF;8004;
CNFFHOTELTERMINUS;CNF0000;ACH;4010000;12/12/2025;CNFFHOTELTERMINUS - CONSEIL D ADMINISTRATION;EUR;120;120;-120;-120;-120;Crédit;181816;;;COWM;;;09/02/2026;;CNFFHOTELTERMINUS - CONSEIL D ADMINISTRATION;;EXP;Facture Fournisseur;Brouillard;ACH -251200137;419892;3112399;CNFFHOTELTERMINUS;CNF;8005;
CNFFHOTELTERMINUS;CNF0000;ACH;4010000;12/12/2025;CNFFHOTELTERMINUS - CONSEIL D ADMINISTRATION;EUR;120;120;-120;-120;-120;Crédit;181818;;;COWL;;;09/02/2026;;CNFFHOTELTERMINUS - CONSEIL D ADMINISTRATION;;EXP;Facture Fournisseur;Brouillard;ACH -251200136;419892;3112397;CNFFHOTELTERMINUS;CNF;8006;
CNFFHOTELTERMINUS;CNF0000;ACH;4010000;21/11/2025;CNFFHOTELTERMINUS - CONSEIL D ADMINISTRATION;EUR;110;110;-110;-110;-110;Crédit;181255;;;COWK;;;09/02/2026;;CNFFHOTELTERMINUS - CONSEIL D ADMINISTRATION;;EXP;Facture Fournisseur;Brouillard;ACH -251100118;419892;3112395;CNFFHOTELTERMINUS;CNF;8007;
CNFFHOTELTERMINUS;CNF0000;ACH;4010000;21/11/2025;CNFFHOTELTERMINUS - CONSEIL D ADMINISTRATION;EUR;220;220;-220;-220;-220;Crédit;181275;;;COWJ;;;09/02/2026;;CNFFHOTELTERMINUS - CONSEIL D ADMINISTRATION;;EXP;Facture Fournisseur;Brouillard;ACH -251100117;419892;3112393;CNFFHOTELTERMINUS;CNF;8008;
CNFFHOTELTERMINUS;CNF0000;ACH;4010000;21/11/2025;CNFFHOTELTERMINUS - COMM INTERNATIONALE;EUR;220;220;-220;-220;-220;Crédit;181274;;;COWI;;;09/02/2026;;CNFFHOTELTERMINUS - COMM INTERNATIONALE;;EXP;Facture Fournisseur;Brouillard;ACH -251100116;419892;3112391;CNFFHOTELTERMINUS;CNF;8009;
CNFFHOTELTERMINUS;CNF0000;ACH;4010000;21/11/2025;CNFFHOTELTERMINUS - COMM INTERNATIONALE;EUR;110;110;-110;-110;-110;Crédit;181254;;;COWH;;;09/02/2026;;CNFFHOTELTERMINUS - COMM INTERNATIONALE;;EXP;Facture Fournisseur;Brouillard;ACH -251100115;419892;3112389;CNFFHOTELTERMINUS;CNF;8010;
CNFFHOTELTERMINUS;CNF0000;ACH;4010000;21/11/2025;CNFFHOTELTERMINUS - CONSEIL D ADMINISTRATION;EUR;110;110;-110;-110;-110;Crédit;181252;;;COWG;;;09/02/2026;;CNFFHOTELTERMINUS - CONSEIL D ADMINISTRATION;;EXP;Facture Fournisseur;Brouillard;ACH -251100114;419892;3112387;CNFFHOTELTERMINUS;CNF;8011;
CNFFHOTELTERMINUS;CNF0000;ACH;4010000;07/11/2025;CNFFHOTELTERMINUS - CONSEIL D ADMINISTRATION;EUR;110;110;-110;-110;-110;Crédit;180892;;;COWE;;;09/02/2026;;CNFFHOTELTERMINUS - CONSEIL D ADMINISTRATION;;EXP;Facture Fournisseur;Brouillard;ACH -251100113;419892;3112385;CNFFHOTELTERMINUS;CNF;8012;
CNFFHOTELTERMINUS;CNF0000;ACH;4010000;07/11/2025;CNFFHOTELTERMINUS - CONSEIL D ADMINISTRATION;EUR;110;110;-110;-110;-110;Crédit;180888;;;COWD;;;09/02/2026;;CNFFHOTELTERMINUS - CONSEIL D ADMINISTRATION;;EXP;Facture Fournisseur;Brouillard;ACH -251100112;419892;3112383;CNFFHOTELTERMINUS;CNF;8013;
CNFFSOCOTEC;CNF0000;ACH;4010000;15/10/2025;CNFFSOCOTEC - AUDIT PATRIMOINE CNF;EUR;312;312;-312;-312;-312;Crédit;2510000015/SDHDF;;;;;;;;CNFFSOCOTEC - AUDIT PATRIMOINE CNF;;EXP;Facture Fournisseur;Brouillard;ACH -251000139;419892;3112381;CNFFSOCOTEC;CNF;8015;
